epoch,train_loss,val_loss,val_auc,val_f1,lr,time_sec
1,0.4026757851282034,0.23923467528757625,nan,0.0,0.0002,29.88066554069519
2,0.20530905223294357,0.18567702587674426,nan,0.0,0.0004,29.428056001663208
3,0.19028901492535996,0.18601755946094453,nan,0.0,0.0006,29.870702743530273
1,0.4248084320637501,0.24965488016085266,nan,0.0,0.0002,29.91903781890869
2,0.2095507940325901,0.18494726647257181,nan,0.0,0.0004,29.72594952583313
3,0.19065728513102898,0.1845560886784998,nan,0.0,0.0006,29.3950514793396
4,0.18946943885577996,0.18538879222166685,nan,0.0,0.0008,30.674437999725342
5,0.18878155163308674,0.18480428062496385,nan,0.0,0.001,30.402631282806396
6,0.18919885627500133,0.18477020689642243,nan,0.0,0.001,30.619441986083984
7,0.18860917418628156,0.18567259386051804,nan,0.0,0.0009755282581475768,30.426790475845337
8,0.18817063108500146,0.1858336353645275,nan,0.0,0.0009045084971874737,30.5674045085907
9,0.1879075401364914,0.18469735576948362,nan,0.0,0.0007938926261462366,30.559186935424805
10,0.18762989964373222,0.18443095967511647,nan,0.0,0.0006545084971874737,30.496774435043335
11,0.18720898137269043,0.18444241848603593,nan,0.0,0.0005,30.51856303215027
12,0.18704130554786005,0.1844263277284762,nan,0.0,0.00034549150281252633,30.517123699188232
13,0.18682143517679975,0.18447366759935183,nan,0.0,0.00020610737385376348,30.530086755752563
14,0.18673123921018805,0.18444266634461767,nan,0.0,9.549150281252633e-05,30.498813152313232
15,0.18663417274185368,0.18436818513986744,nan,0.0,2.4471741852423235e-05,30.39732813835144
1,1.811401020116681,1.3264864440042465,0.9512022365655746,0.3081190881617761,0.0002,29.923434495925903
2,1.3900566026737595,1.2848414154521755,0.9554232708604191,0.3211663547822221,0.0004,31.03960347175598
3,1.3582263326644897,1.2605131996655072,0.9603080668268512,0.32510038394072,0.0006,31.844834566116333
4,1.3402581269459954,1.2628468882190724,0.9624360518095477,0.3169649664892335,0.0008,31.042930841445923
1,1.772266482099175,1.33662531313349,0.9496235819546106,0.3165738669410549,0.0002,30.589793920516968
2,1.3819814278881624,1.2653927599015784,0.9601060417981871,0.3371416041334287,0.0004,31.273557662963867
3,1.354023192230791,1.2827484721303637,0.9622588614327254,0.3159223953149152,0.0006,30.976057291030884
4,1.334718050915081,1.2413225079885597,0.9617191140823511,0.3325601226927939,0.0008,31.095343351364136
5,1.31019382254005,1.2454272444521794,0.9594651059834804,0.32469275423197813,0.001,31.613858461380005
